Timestamp,Gender,Age (number),Race/ethnicity,If not from U.S. please specify COUNTRY (leave blank if from U.S.),"Home State (abrv., Ex. NY, USE ALL CAPS please!)
(N/A if not from U.S.)","Name of home COUNTY (Ex. Broome)
(N/A if not from U.S.)",Did you play organized sports from ages 5-12?,Did you play organized sports from ages 13-18?,"Which sport was your primary sport in high school (if you played, if not click none)","Which sport was your secondary sport in high school (if you played, if not click none)","Did you hold a leadership position in high school for your sport? (Captain, etc.) (Click no if did not play a sport)",At what point did you stop playing these sports?,"To the best of your recollection, How many hours did you study in High School per week?",Were you part of any non sport club(s) in high school?,"if yes, how many","What was, to the best of your recollection, your High School average (out of 100)?
(If unknown, write N/A)",How many days per week did you train for your sport in high school (if no sport: select Did not train),How many hours did you spend training for your sport per day?,Did you aspire to be an athlete in college?,Did you mention any sports involvement on your college application?,Year,"Major
(if not at Binghamton click OTHER @ bottom)
(if not at college choose NONE @ bottom)",What college do you attend (did attend)?,If not attending/didn't attend Binghamton University please specify your Major at your university,If you did not attend/aren't attending Binghamton University did you apply to Binghamton University? ,If you did not attend/aren't attending Binghamton University did you get accepted into Binghamton? ,"College GPA (EX: 3.53)
(If freshman write ""No GPA Yet"")",After college plans,Are you currently an athlete on a NCAA team at your school (D1/D2/D3)?,"What university teams are you on, if any? (choose all that apply, if not click none)","Do you participate in any intramural sports in college?
",How many days do you train per week currently? (if not a college athlete select Do not train),How many hours do you spend training for your sport per day? (if not a college athlete select Do not train),"Do you think participation in these sports has positively or negatively affected your grades
","Are you enrolled in college on an athletic scholarship if you play a sport?
(Don’t answer if you do not play a sport in college)","Feedback:

Were any of the questions confusing or unclear? If yes, which ones?
Did any questions feel repetitive or unnecessary?
Were there any important questions you think we should add?
How long did the survey take you to complete? Was that too short, too long, or about right?
Did the wording of any questions feel biased or leading?
Were the answer choices clear and complete (e.g., did you ever feel like your answer wasn’t listed)?
Overall, what parts of the survey worked well?
What parts should we change or remove?
","If you answered yes to the last question, how did you make your team?"
10/23/2025 11:20:13,Female,21,White,,NY,Suffolk,Yes,Yes,Gymnastics,Soccer,No,During high school,5,Yes,3,100,4,2,No,No,Senior,"Mathematical Sciences, BA",Binghamton University,,,,3.9,Employment,No,None,Yes,Do not train,Do not train,No effect,No,,
10/23/2025 11:25:10,Female,21,White,,NY,Essex,Yes,Yes,XC/Track and Field,Basketball,No,Never Stopped,6,Yes,2,100,5,2,No,Yes,Senior,"Economics, BS",Binghamton University,,,,3.68,Employment,No,None,Yes,Do not train,Do not train,N/A,,,
10/23/2025 11:26:40,Female,20,White,,NY,Onondaga,Yes,Yes,XC/Track and Field,None,Yes,End of high school,4,Yes,2,102,5,2,No,Yes,Senior,"Economics, BS",Binghamton University,,,,4,Employment,No,None,No,Do not train,Do not train,Positive effect,,"The last question about participation and grades is confusing, is this for everyone to answer, or only if you play sports in college? Also, I am a double major and there was no spot for me to report that (Environmental Studies, BA)",
10/23/2025 11:39:19,Male,20,Asian,,NY,Broome,Yes,Yes,Soccer,Tennis,Yes,Never Stopped,8,Yes,5,97,7,4,Yes,Yes,Junior,"Economics, BA",Binghamton University,,,,3.4,Employment,No,None,Yes,Do not train,Do not train,Positive effect,No,Everything was good,
10/23/2025 12:04:52,Female,20,Asian,,NY,QUEENS,No,No,None,None,No,Never Played,8,Yes,3,92,Did not train,Did not train,No,No,Junior,"Economics, BA",Binghamton University,,,,3.5,Employment,No,None,No,Do not train,Do not train,No effect,No,,
10/23/2025 12:41:12,Male,20,White,,NY,Monroe,Yes,Yes,American Football,Lacrosse,Yes,End of high school,6,Yes,2,93,5,2,No,Yes,Junior,"Economics, BA",Binghamton University,,,,3.72,Graduate School,No,None,Yes,Do not train,Do not train,Positive effect,,,
10/23/2025 12:42:41,Female,21,White,,NY,Broome,Yes,Yes,Dance,None,Yes,End of high school,4,Yes,3,100.6,5,3,Yes,Yes,Senior,"Economics, BS",Binghamton University,,,,3.5,Both,No,None,No,Do not train,Do not train,N/A,,"Took about 3-4 minutes, all questions seemed clear, answer choices seemed complete.",
10/23/2025 12:48:20,Male,19,Asian,,NY,Westchester,Yes,Yes,XC/Track and Field,None,Yes,End of high school,8,Yes,1,98,6,3,No,Yes,Sophomore,"Economics, BS",Binghamton University,,,,4,Both,No,None,No,Do not train,Do not train,No effect,,,
10/23/2025 12:49:54,Male,27,White,,NY,Suffolk,Yes,Yes,Rowing,None,No,Never Stopped,4,Yes,2,92,5,3,No,Yes,Senior,"Economics, BA",Binghamton University,,,,3,Employment,No,None,No,Do not train,Do not train,N/A,,"Good survey. I think you should add a section about training or working out even if you're not on a sports team, because that might clarify if any patterns you find are due to being on a team or if they're related to working out/athletics generally. Survey took about 7 minutes. Good luck with your project!",
10/23/2025 12:56:57,Female,18,White,,NY,Oneida,Yes,Yes,Soccer,Softball,Yes,End of high school,8,Yes,4,99,6,2,Yes,Yes,Freshman,"Economics, BA",Binghamton University,,,,No GPA Yet,Graduate School,No,None,No,Do not train,Do not train,Positive effect,,,
10/23/2025 13:33:47,Male,19,Black or African American,,NY,Queens,Yes,Yes,Soccer,Volleyball,No,Never Stopped,15,Yes,1,85,2,3,No,No,Junior,"Economics, BS",Binghamton University,,,,3.34,Both,No,None,Yes,Do not train,Do not train,N/A,No,,
10/23/2025 13:38:46,Female,18,Asian,,NY,Westchester,Yes,Yes,Tennis,Volleyball,Yes,End of high school,4,Yes,4,N/A,5,1.5,No,Yes,Freshman,"Biological Sciences, BA",Binghamton University,,,,No GPA Yet,Vet school,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 13:50:55,Female,19,White,,NY,Putnam County,No,No,None,None,No,Never Played,6,Yes,4,94.8,Did not train,Did not train,No,No,Sophomore,"Economics, BA",Binghamton University,,,,3.68,Law School,No,None,No,Do not train,Do not train,N/A,,,
10/23/2025 14:11:06,Male,20,"Asian, White",,NY,Richmond ,Yes,Yes,Basketball,None,Yes,Never Stopped,0,Yes,5+,96,7,4,Yes,Yes,Sophomore,"Philosophy, Politics, and Law, BA",Binghamton University,,No,,4,Graduate School,Yes,Basketball,No,7,3,No effect,No,,Walk on
10/23/2025 14:14:34,Male,20,White,,NY,Suffolk,Yes,Yes,Soccer,Tennis,Yes,Never Stopped,4,Yes,2,95,5,2,No,Yes,Junior,"Economics, BA",Binghamton University,,,,3.57,Both,No,None,Yes,Do not train,Do not train,N/A,,,
10/23/2025 15:23:51,Male,19,Asian,,NY,Orange,Yes,No,None,None,No,End of middle school,1,Yes,5+,99,Did not train,Did not train,No,No,Sophomore,"Computer Science, BS",Binghamton University,,,,3.85,Employment,No,None,Yes,Do not train,Do not train,N/A,,,
10/23/2025 15:46:56,Male,20,Asian,,NY,Queens,Yes,Yes,Baseball,Badminton,Yes,End of middle school,4,Yes,3,98,2,4,Yes,Yes,Junior,"Industrial and Systems Engineering, BS",Binghamton University,,,,3.01,Both,No,None,Yes,Do not train,Do not train,No effect,,"No
No
No
5 minutes, about right
No
Yes
Asking about high school and college 
Nothing",
10/23/2025 16:11:02,Female,20,Asian,,NY,Kings,Yes,Yes,Volleyball,Tennis,No,Never Stopped,4,Yes,1,92,4,3,No,No,Junior,"Economics, BS",Binghamton University,,,,3,Both,No,None,Yes,Do not train,Do not train,Positive effect,No,,
10/23/2025 17:16:51,Female,21,"American Indian or Alaska Native, White",,CO,El Paso,Yes,Yes,Rugby,None,Yes,Never Stopped,4,Yes,4,91,6,2,Yes,Yes,Senior,"Psychology, BA",Binghamton University,,,,3.73,Graduate School,No,None,No,Do not train,Do not train,No effect,No,"The “how many hours do you train per day” question could be worded clearer. Because I don’t train every day, so I just assumed you meant to ask about how long on the days that I do train. ",
10/23/2025 17:25:02,Male,18,Asian,,NY,Yonkers,Yes,Yes,Basketball,None,No,End of high school,5,Yes,2,100,6,3,No,Yes,Freshman,"Mechanical Engineering, BS",Binghamton University,,,,No GPA yet,Both,No,None,No,Do not train,Do not train,Negative effect,,,
10/23/2025 19:18:08,Male,20,Middle Eastern or North African,,NY,Nassau,Yes,Yes,Soccer,Swimming and Diving,Yes,Never Stopped,3,Yes,3,98,6,2,Yes,Yes,Junior,"Arabic Studies, BA",Binghamton University,,,,3.45,Both,No,None,No,Do not train,Do not train,Positive effect,No,,
10/23/2025 19:24:41,Female,20,"Black or African American, White",,NY,Nassau,Yes,Yes,Golf,None,No,End of high school,8,Yes,3,99,3,3,No,Yes,Junior,"Philosophy, Politics, and Law, BA",Binghamton University,,,,3.3,Graduate School,No,None,No,Do not train,Do not train,N/A,No,yes they were clear and well structured ,
10/24/2025 12:12:06,Female,24,White,,NY,Rockland,Yes,Yes,Volleyball,Rowing,Yes,End of high school,4,Yes,3,98,6,3,No,Yes,Alum,"Economics, BA",Binghamton University,,,,3.84,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/25/2025 13:01:32,Male,20,Black or African American,,NY,Westchester,Yes,Yes,Soccer,XC/Track and Field,Yes,Never Stopped,4,Yes,2,93,5,2,Yes,Yes,Junior,"Economics, BA",Binghamton University,,,,3,Unsure,Yes,"Soccer, XC/Track and Field",No,6,3,Negative effect,Yes,,Recruited
10/25/2025 19:17:05,Female,21,Hispanic or Latino,,NY,Rockland,Yes,No,None,None,No,Before middle school,0,Yes,2,97,Did not train,Did not train,No,No,Senior,"Philosophy, Politics, and Law, BA",Binghamton University,,,,3.39,Employment,No,None,No,Do not train,Do not train,N/A,,,
10/27/2025 10:34:41,Male,20,Hispanic or Latino,,NY,Westchester,Yes,Yes,Wrestling,XC/Track and Field,No,During high school,3,Yes,2,97,5,1.5,No,Yes,Senior,"Business Administration, BS",Binghamton University,,,,3.74,Both,No,None,Yes,Do not train,Do not train,Positive effect,,A good question to add is if they still train for the sport but for leisure now. maybe 1-2 more follow ups with the intramural ,
10/27/2025 12:17:06,Female,20,White,,NY,Suffolk,Yes,Yes,Volleyball,XC/Track and Field,No,End of high school,6,Yes,5+,98,6,3,No,Yes,Senior,"Economics, BS",Binghamton University,,,,3.1,Both,No,None,No,Do not train,Do not train,N/A,,,
10/27/2025 17:15:58,Female,18,Black or African American,,NY,Westchester,Yes,Yes,Basketball,Baseball,No,End of high school,10,Yes,5,N/A,3,1.5,No,Yes,Freshman,"Computer Science, BS",Binghamton University,,,,No GPA Yet,Graduate School,No,None,No,Do not train,Do not train,Positive effect,,,
10/27/2025 23:03:49,Non-Binary,24,"Black or African American, Hispanic or Latino",,FL,Leon,Yes,Yes,Softball,None,No,During high school,5,Yes,3,N/A,2,2,No,No,Junior,"Theatre, BA",Binghamton University,,,,3.83,Employment,No,None,No,Do not train,Do not train,N/A,,,
